Player,Last Name,Position,Team,Pick,Round
Buffalo,Bills,DEF,BUF,69,8
Indianapolis,Colts,DEF,IND,70,8
Los Angeles,Rams,DEF,LAR,79,9
Tampa Bay,Buccaneers,DEF,TB,81,9
San Francisco,49ers,DEF,SF,89,10
Dallas,Cowboys,DEF,DAL,96,10
New England,Patriots,DEF,NE,112,12
New Orleans,Saints,DEF,NO,116,13
Green Bay,Packers,DEF,GB,127,13
Miami,Dolphins,DEF,MIA,128,13
Los Angeles,Chargers,DEF,LAC,139,14
Pittsburgh,Steelers,DEF,PIT,143,14
Kansas City,Chiefs,DEF,KC,145,14
Denver,Broncos,DEF,DEN,158,15
Baltimore,Ravens,DEF,BAL,162,15
Tennessee,Titans,DEF,TEN,171,15
Philadelphia,Eagles,DEF,PHI,172,15
Cincinnati,Bengals,DEF,CIN,181,15
Arizona,Cardinals,DEF,ARI,182,15
Cleveland,Browns,DEF,CLE,188,15
Minnesota,Vikings,DEF,MIN,194,15
Las Vegas,Raiders,DEF,LV,198,15
Chicago,Bears,DEF,CHI,224,16
Washington,Team,DEF,WAS,225,16
Carolina,Panthers,DEF,CAR,229,16
Seattle,Seahawks,DEF,SEA,242,16
Detroit,Lions,DEF,DET,250,16
New York,Giants,DEF,NYG,251,16
New York,Jets,DEF,NYJ,261,16
Jacksonville,Jaguars,DEF,JAC,280,16
Houston,Texans,DEF,HOU,292,16
Atlanta,Falcons,DEF,ATL,300,16
Justin,Tucker,K,BAL,66,7
Younghoe,Koo,K,ATL,80,9
Tyler,Bass,K,BUF,85,9
Ryan,Succop,K,TB,99,11
Daniel,Carlson,K,LV,111,12
Matt,Prater,K,ARI,114,12
Evan,McPherson,K,CIN,121,13
Matt,Gay,K,LAR,125,13
Nick,Folk,K,NE,126,13
Chris,Boswell,K,PIT,147,14
Robbie,Gould,K,SF,167,15
Randy,Bullock,K,TEN,185,15
Brandon,McManus,K,DEN,187,15
Jake,Elliott,K,PHI,190,15
Greg,Joseph,K,MIN,191,15
Mason,Crosby,K,GB,195,15
Rodrigo,Blankenship,K,IND,207,15
Wil,Lutz,K,NO,209,15
Jason,Sanders,K,MIA,216,15
Dustin,Hopkins,K,LAC,219,16
Graham,Gano,K,NYG,227,16
Jason,Myers,K,SEA,235,16
Cairo,Santos,K,CHI,238,16
Greg,Zuerlein,K,NYJ,245,16
Cade,York,K,CLE,255,16
Zane,Gonzalez,K,CAR,265,16
Jonathan,Garibay,K,,273,16
Ka'imi,Fairbairn,K,HOU,286,16
Joey,Slye,K,WAS,287,16
Riley,Patterson,K,DET,308,16
Chris,Naggar,K,,357,16
Jose,Borregales,K,TB,377,16
Austin,Seibert,K,DET,378,16
JJ,Molson,K,,387,16
Eddy,Pineiro,K,NYJ,420,16
Ryan,Santoso,K,JAX,428,16
Matthew,Wright,K,,455,16
Jake,Verity,K,IND,469,16
Sam,Sloman,K,,514,16
Josh,Allen,QB,BUF,13,2
Patrick,Mahomes,QB,KC,21,3
Justin,Herbert,QB,LAC,27,4
Kyler,Murray,QB,ARI,38,5
Lamar,Jackson,QB,BAL,39,5
Joe,Burrow,QB,CIN,49,6
Aaron,Rodgers,QB,GB,50,6
Jalen,Hurts,QB,PHI,55,7
