player,lastName,position,team
Matt,Prater,K,ARI
Younghoe,Koo,K,ATL
Justin,Tucker,K,BAL
Tyler,Bass,K,BUF
Zane,Gonzalez,K,CAR
Cairo,Santos,K,CHI
Evan,McPherson,K,CIN
Cade,York,K,CLE
Brandon,McManus,K,DEN
Riley,Patterson,K,DET
Austin,Seibert,K,DET
Mason,Crosby,K,GB
Ka'imi,Fairbairn,K,HOU
Rodrigo,Blankenship,K,IND
Jake,Verity,K,IND
Ryan,Santoso,K,JAX
Harrison,Butke,K,KC
Dustin,Hopkins,K,LAC
Matt,Gay,K,LAR
Daniel,Carlson,K,LV
Jason,Sanders,K,MIA
Greg,Joseph,K,MIN
Nick,Folk,K,NE
Wil,Lutz,K,NO
Graham,Gano,K,NYG
Greg,Zuerlein,K,NYJ
Eddy,Pineiro,K,NYJ
Jake,Elliott,K,PHI
Chris,Boswell,K,PIT
Jason,Myers,K,SEA
Robbie,Gould,K,SF
Ryan,Succop,K,TB
Jose,Borregales,K,TB
Randy,Bullock,K,TEN
Joey,Slye,K,WAS
JJ,Molson,K,
Jonathan,Garibay,K,
Chris,Naggar,K,
Matthew,Wright,K,
Sam,Sloman,K,
