player,lastName,position,team
James,Conner,RB,ARI
Darrel,Williams,RB,ARI
Eno,Benjamin,RB,ARI
Keaontay,Ingram,RB,ARI
Jonathan,Ward,RB,ARI
Cordarrelle,Patterson,RB,ATL
Tyler,Allgeier,RB,ATL
Damien,Williams,RB,ATL
Keith,Smith,RB,ATL
Qadree,Ollison,RB,ATL
J.K.,Dobbins,RB,BAL
Gus,Edwards,RB,BAL
Tyler,Badie,RB,BAL
Nate,McCrary,RB,BAL
Justice,Hill,RB,BAL
Devin,Singletary,RB,BUF
James,Cook,RB,BUF
Zack,Moss,RB,BUF
Taiwan,Jones,RB,BUF
Christian,McCaffrey,RB,CAR
Chuba,Hubbard,RB,CAR
D'Onta,Foreman,RB,CAR
David,Montgomery,RB,CHI
Khalil,Herbert,RB,CHI
Trestan,Ebner,RB,CHI
Khari,Blasingame,RB,CHI
Joe,Mixon,RB,CIN
Samaje,Perine,RB,CIN
Chris,Evans,RB,CIN
Nick,Chubb,RB,CLE
Kareem,Hunt,RB,CLE
Demetric,Felton,RB,CLE
Ezekiel,Elliott,RB,DAL
Tony,Pollard,RB,DAL
Javonte,Williams,RB,DEN
Melvin,Gordon,RB,DEN
Mike,Boone,RB,DEN
JaQuan,Hardy,RB,DEN
Damarea,Crockett,RB,DEN
D'Andre,Swift,RB,DET
Jamaal,Williams,RB,DET
Craig,Reynolds,RB,DET
Aaron,Jones,RB,GB
AJ,Dillon,RB,GB
Kylin,Hill,RB,GB
Patrick,Taylor,RB,GB
Marlon,Mack,RB,HOU
Dameon,Pierce,RB,HOU
Rex,Burkhead,RB,HOU
Royce,Freeman,RB,HOU
Jonathan,Taylor,RB,IND
Nyheim,Hines,RB,IND
Ty'Son,Williams,RB,IND
Phillip,Lindsay,RB,IND
Deon,Jackson,RB,IND
Travis,Etienne,RB,JAX
James,Robinson,RB,JAX
Clyde,Edwards-Helaire,RB,KC
Ronald,Jones,RB,KC
Jerick,McKinnon,RB,KC
Isiah,Pacheco,RB,KC
Derrick,Gore,RB,KC
Michael,Burton,RB,KC
Austin,Ekeler,RB,LAC
Isaiah,Spiller,RB,LAC
Joshua,Kelley,RB,LAC
Cam,Akers,RB,LAR
Darrell,Henderson,RB,LAR
Kyren,Williams,RB,LAR
Jake,Funk,RB,LAR
Josh,Jacobs,RB,LV
Kenyan,Drake,RB,LV
Brandon,Bolden,RB,LV
Ameer,Abdullah,RB,LV
Jakob,Johnson,RB,LV
Chase,Edmonds,RB,MIA
Raheem,Mostert,RB,MIA
Myles,Gaskin,RB,MIA
Sony,Michel,RB,MIA
Salvon,Ahmed,RB,MIA
Alec,Ingold,RB,MIA
Dalvin,Cook,RB,MIN
Alexander,Mattison,RB,MIN
C.J.,Ham,RB,MIN
Kene,Nwangwu,RB,MIN
Damien,Harris,RB,NE
Rhamondre,Stevenson,RB,NE
James,White,RB,NE
J.J.,Taylor,RB,NE
Kevin,Harris,RB,NE
Alvin,Kamara,RB,NO
Mark,Ingram,RB,NO
Saquon,Barkley,RB,NYG
Matt,Breida,RB,NYG
Gary,Brightwell,RB,NYG
Breece,Hall,RB,NYJ
Michael,Carter,RB,NYJ
Ty,Johnson,RB,NYJ
Miles,Sanders,RB,PHI
Kenneth,Gainwell,RB,PHI
Boston,Scott,RB,PHI
Najee,Harris,RB,PIT
Derek,Watt,RB,PIT
Benny,Snell,RB,PIT
Anthony,McFarland,RB,PIT
Mataeo,Durant,RB,PIT
Rashaad,Penny,RB,SEA
Kenneth,Walker III,RB,SEA
DeeJay,Dallas,RB,SEA
Travis,Homer,RB,SEA
Darwin,Thompson,RB,SEA
Elijah,Mitchell,RB,SF
Kyle,Juszczyk,RB,SF
Trey,Sermon,RB,SF
Jeff,Wilson,RB,SF
JaMycal,Hasty,RB,SF
Tyrion,Davis-Price,RB,SF
Leonard,Fournette,RB,TB
Rachaad,White,RB,TB
Giovani,Bernard,RB,TB
Ke'Shawn,Vaughn,RB,TB
Patrick,Laird,RB,TB
Derrick,Henry,RB,TEN
Dontrell,Hilliard,RB,TEN
Hassan,Haskins,RB,TEN
Antonio,Gibson,RB,WAS
J.D.,McKissic,RB,WAS
Brian,Robinson,RB,WAS
Alex,Armah,RB,WAS
Chris,Carson,RB,
Devonta,Freeman,RB,
