player,lastName,position,team
Zach,Ertz,TE,ARI
Trey,McBride,TE,ARI
Stephen,Anderson,TE,ARI
Kyle,Pitts,TE,ATL
Anthony,Firkser,TE,ATL
Mark,Andrews,TE,BAL
Isaiah,Likely,TE,BAL
Josh,Oliver,TE,BAL
Nick,Boyle,TE,BAL
Ben,Mason,TE,BAL
Dawson,Knox,TE,BUF
O.J.,Howard,TE,BUF
Tommy,Sweeney,TE,BUF
Tommy,Tremble,TE,CAR
Ian,Thomas,TE,CAR
Cole,Kmet,TE,CHI
Hayden,Hurst,TE,CIN
Drew,Sample,TE,CIN
David,Njoku,TE,CLE
Harrison,Bryant,TE,CLE
Dalton,Schultz,TE,DAL
Sean,McKeon,TE,DAL
Jeremy,Sprinkle,TE,DAL
Albert,Okwuegbunam,TE,DEN
Greg,Dulcich,TE,DEN
Eric,Saubert,TE,DEN
T.J.,Hockenson,TE,DET
Robert,Tonyan,TE,GB
Marcedes,Lewis,TE,GB
Josiah,Deguara,TE,GB
Brevin,Jordan,TE,HOU
Pharaoh,Brown,TE,HOU
Mo,Alie-Cox,TE,IND
Jelani,Woods,TE,IND
Evan,Engram,TE,JAX
Dan,Arnold,TE,JAX
Travis,Kelce,TE,KC
Blake,Bell,TE,KC
Noah,Gray,TE,KC
Gerald,Everett,TE,LAC
Donald,Parham,TE,LAC
Tre',McKitty,TE,LAC
Tyler,Higbee,TE,LAR
Kendall,Blanton,TE,LAR
Brycen,Hopkins,TE,LAR
Jacob,Harris,TE,LAR
Darren,Waller,TE,LV
Foster,Moreau,TE,LV
Jacob,Hollister,TE,LV
Jesper,Horsted,TE,LV
Mike,Gesicki,TE,MIA
Durham,Smythe,TE,MIA
Adam,Shaheen,TE,MIA
Irv,Smith,TE,MIN
Johnny,Mundt,TE,MIN
Hunter,Henry,TE,NE
Jonnu,Smith,TE,NE
Taysom,Hill,TE,NO
Adam,Trautman,TE,NO
Ricky,Seals-Jones,TE,NYG
Jordan,Akins,TE,NYG
Chris,Myarick,TE,NYG
C.J.,Uzomah,TE,NYJ
Tyler,Conklin,TE,NYJ
Jeremy,Ruckert,TE,NYJ
Trevon,Wesco,TE,NYJ
Dallas,Goedert,TE,PHI
Richard,Rodgers,TE,PHI
Tyree,Jackson,TE,PHI
Pat,Freiermuth,TE,PIT
Zach,Gentry,TE,PIT
Connor,Heyward,TE,PIT
Noah,Fant,TE,SEA
George,Kittle,TE,SF
Ross,Dwelley,TE,SF
Charlie,Woerner,TE,SF
Cameron,Brate,TE,TB
Kyle,Rudolph,TE,TB
Cade,Otton,TE,TB
Austin,Hooper,TE,TEN
Chigoziem,Okonkwo,TE,TEN
Logan,Thomas,TE,WAS
John,Bates,TE,WAS
Rob,Gronkowski,TE,
Jared,Cook,TE,
Dominique,Dafney,TE,
Brandon,Dillon,TE,
Ian,Bunting,TE,
