player,lastName,position,team
DeAndre,Hopkins,WR,ARI
Marquise,Brown,WR,ARI
A.J.,Green,WR,ARI
Rondale,Moore,WR,ARI
Antoine,Wesley,WR,ARI
Drake,London,WR,ATL
Calvin,Ridley,WR,ATL
Olamide,Zaccheaus,WR,ATL
Auden,Tate,WR,ATL
Rashod,Bateman,WR,BAL
Devin,Duvernay,WR,BAL
James,Proche,WR,BAL
Stefon,Diggs,WR,BUF
Gabe,Davis,WR,BUF
Jamison,Crowder,WR,BUF
Isaiah,McKenzie,WR,BUF
Khalil,Shakir,WR,BUF
Marquez,Stevenson,WR,BUF
Isaiah,Hodgins,WR,BUF
D.J.,Moore,WR,CAR
Robbie,Anderson,WR,CAR
Rashard,Higgins,WR,CAR
Terrace,Marshall Jr.,WR,CAR
Shi,Smith,WR,CAR
Darnell,Mooney,WR,CHI
Byron,Pringle,WR,CHI
Velus,Jones,WR,CHI
Equanimeous,St.Brown,WR,CHI
N'Keal,Harry,WR,CHI
David,Moore,WR,CHI
Dazz,Newsome,WR,CHI
Ja'Marr,Chase,WR,CIN
Tee,Higgins,WR,CIN
Tyler,Boyd,WR,CIN
Mike,Thomas,WR,CIN
Trent,Taylor,WR,CIN
Stanley,Morgan,WR,CIN
Trenton,Irwin,WR,CIN
Amari,Cooper,WR,CLE
Donovan,Peoples-Jones,WR,CLE
David,Bell,WR,CLE
Jakeem,Grant,WR,CLE
Anthony,Schwartz,WR,CLE
CeeDee,Lamb,WR,DAL
Michael,Gallup,WR,DAL
Jalen,Tolbert,WR,DAL
James,Washington,WR,DAL
Noah,Brown,WR,DAL
Simi,Fehoko,WR,DAL
Jerry,Jeudy,WR,DEN
Courtland,Sutton,WR,DEN
Tim,Patrick,WR,DEN
K.J.,Hamler,WR,DEN
Kendall,Hinton,WR,DEN
Seth,Williams,WR,DEN
Amon-Ra,St.Brown,WR,DET
D.J.,Chark,WR,DET
Jameson,Williams,WR,DET
Kalif,Raymond,WR,DET
Josh,Reynolds,WR,DET
Quintez,Cephus,WR,DET
Trinity,Benson,WR,DET
Tom,Kennedy,WR,DET
Allen,Lazard,WR,GB
Christian,Watson,WR,GB
Sammy,Watkins,WR,GB
Randall,Cobb,WR,GB
Romeo,Doubs,WR,GB
Amari,Rodgers,WR,GB
Juwann,Winfree,WR,GB
Malik,Taylor,WR,GB
Brandin,Cooks,WR,HOU
Nico,Collins,WR,HOU
John,Metchie III,WR,HOU
Phillip,Dorsett,WR,HOU
Michael,Pittman,WR,IND
Alec,Pierce,WR,IND
Parris,Campbell,WR,IND
Ashton,Dulin,WR,IND
Dezmon,Patmon,WR,IND
D.J.,Montgomery,WR,IND
Christian,Kirk,WR,JAX
Marvin,Jones,WR,JAX
Laviska,Shenault Jr.,WR,JAX
Zay,Jones,WR,JAX
Laquon,Treadwell,WR,JAX
Jamal,Agnew,WR,JAX
JuJu,Smith-Schuster,WR,KC
Mecole,Hardman,WR,KC
Marquez,Valdes-Scantling,WR,KC
Skyy,Moore,WR,KC
Jody,Fortson,WR,KC
Keenan,Allen,WR,LAC
Mike,Williams,WR,LAC
Josh,Palmer,WR,LAC
Jalen,Guyton,WR,LAC
Jason,Moore,WR,LAC
Cooper,Kupp,WR,LAR
Allen,Robinson,WR,LAR
Van,Jefferson,WR,LAR
Landen,Akers,WR,LAR
Davante,Adams,WR,LV
Hunter,Renfrow,WR,LV
Mack,Hollins,WR,LV
Tyron,Johnson,WR,LV
Tyreek,Hill,WR,MIA
Jaylen,Waddle,WR,MIA
Ced,Wilson,WR,MIA
Justin,Jefferson,WR,MIN
Adam,Thielen,WR,MIN
K.J.,Osborn,WR,MIN
Ihmir,Smith-Marsette,WR,MIN
DeVante,Parker,WR,NE
Jakobi,Meyers,WR,NE
Kendrick,Bourne,WR,NE
Nelson,Agholor,WR,NE
Tyquan,Thornton,WR,NE
Ty,Montgomery,WR,NE
Lil'Jordan,Humphrey,WR,NE
Michael,Thomas,WR,NO
Chris,Olave,WR,NO
Jarvis,Landry,WR,NO
Marquez,Callaway,WR,NO
Deonte,Harty,WR,NO
Tre'Quan,Smith,WR,NO
Juwan,Johnson,WR,NO
Kadarius,Toney,WR,NYG
Kenny,Golladay,WR,NYG
Sterling,Shepard,WR,NYG
Wan'Dale,Robinson,WR,NYG
Darius,Slayton,WR,NYG
Elijah,Moore,WR,NYJ
Garrett,Wilson,WR,NYJ
Corey,Davis,WR,NYJ
Braxton,Berrios,WR,NYJ
Denzel,Mims,WR,NYJ
Jeff,Smith,WR,NYJ
A.J.,Brown,WR,PHI
DeVonta,Smith,WR,PHI
Quez,Watkins,WR,PHI
Jalen,Reagor,WR,PHI
Zach,Pascal,WR,PHI
Diontae,Johnson,WR,PIT
Chase,Claypool,WR,PIT
George,Pickens,WR,PIT
Calvin,Austin III,WR,PIT
Gunner,Olszewski,WR,PIT
Cody,White,WR,PIT
Steven,Sims,WR,PIT
DK,Metcalf,WR,SEA
Tyler,Lockett,WR,SEA
Freddie,Swain,WR,SEA
Penny,Hart,WR,SEA
Deebo,Samuel,WR,SF
Brandon,Aiyuk,WR,SF
Jauan,Jennings,WR,SF
Ray-Ray,McCloud,WR,SF
Danny,Gray,WR,SF
Jordan,Matthews,WR,SF
Mike,Evans,WR,TB
Chris,Godwin,WR,TB
Russell,Gage,WR,TB
Julio,Jones,WR,TB
Scott,Miller,WR,TB
Tyler,Johnson,WR,TB
Cyril,Grayson,WR,TB
Jaelon,Darden,WR,TB
Robert,Woods,WR,TEN
Treylon,Burks,WR,TEN
Nick,Westbrook-Ikhine,WR,TEN
Dez,Fitzpatrick,WR,TEN
Terry,McLaurin,WR,WAS
Jahan,Dotson,WR,WAS
Curtis,Samuel,WR,WAS
Cam,Sims,WR,WAS
Odell,Beckham Jr.,WR,
Demarcus,Robinson,WR,
Emmanuel,Sanders,WR,
Cole,Beasley,WR,
John,Ross,WR,
Omar,Bayless,WR,
